gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
980596884																										OBS249585503										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS249585503	OBS249585503		obsr122899													PRESENT																			2007-02-26T00:00:00				2007	2	26												SOUTH_AMERICA				EC	Galápagos			Isla Fernandina--Punta Espinoza									-0.264551	-91.445946																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:56:58.840Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:56:58.840Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.1_1	Isabela	ECU.9.1.2_1	Tomas De Berlanga (Santo Tomas)	EN	
980592733																										OBS249505108										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS249505108	OBS249505108		obsr226532													PRESENT																			2010-11-25T00:00:00				2010	11	25												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:58:33.468Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:58:33.468Z	2022-03-02T17:41:33.833Z	false										EN	
980591857																										OBS249505096										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS249505096	OBS249505096		obsr226532													PRESENT																			2010-11-23T00:00:00				2010	11	23												SOUTH_AMERICA				EC	Galápagos			Isabela--Tagus Cove									-0.262298	-91.37226																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:57:34.418Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:57:34.418Z	2022-03-02T17:41:33.833Z	false										EN	
980591728																										OBS249585516										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS249585516	OBS249585516		obsr122899													PRESENT																			2007-02-24T00:00:00				2007	2	24												SOUTH_AMERICA				EC	Galápagos			Isabela--Elizabeth Bay									-0.597285	-91.08318																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:59:05.058Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:59:05.058Z	2022-03-02T17:41:33.833Z	false										EN	
980589860																										OBS249505048										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS249505048	OBS249505048		obsr226532													PRESENT																			2010-11-24T00:00:00				2010	11	24												SOUTH_AMERICA				EC	Galápagos			Isla Santiago									-0.264358	-90.715485																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:59:09.848Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:59:09.848Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.3_1	Santa Cruz	ECU.9.3.1_1	Bellavista	EN	
980352338																										OBS246180168										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS246180168	OBS246180168		obsr330147		2											PRESENT																			2007-04-16T00:00:00				2007	4	16												SOUTH_AMERICA				EC	Galápagos			Isla Isabela									-0.80106	-91.12871																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:59:53.674Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:59:53.674Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.1_1	Isabela	ECU.9.1.2_1	Tomas De Berlanga (Santo Tomas)	EN	
980280539																										OBS246953315										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS246953315	OBS246953315		obsr319186													PRESENT																			2003-12-09T00:00:00				2003	12	9												SOUTH_AMERICA				EC	Galápagos			Isla Bartolome									-0.284871	-90.55391																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T15:12:02.436Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T15:12:02.436Z	2022-03-02T17:41:33.833Z	false										EN	
979900587																										OBS242414287										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS242414287	OBS242414287		obsr437205		1											PRESENT																			2005-07-26T00:00:00				2005	7	26												SOUTH_AMERICA				EC	Galápagos			Isla Floreana									-1.3	-90.4333																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T14:57:24.885Z								CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T14:57:24.885Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.2_1	San Cristóbal	ECU.9.2.2_1	Isla Santa Mara (Floreana) (Cab.	EN	
979759505																										OBS242165271										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS242165271	OBS242165271		obsr176459		4											PRESENT																			2008-11-10T00:00:00				2008	11	10												SOUTH_AMERICA				EC	Galápagos			Isabela--Puerto Villamil									-0.956961	-90.96559																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T15:12:33.670Z								COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T15:12:33.670Z	2022-03-02T17:41:33.833Z	false		ECU	Ecuador	ECU.9_1	Galápagos	ECU.9.1_1	Isabela	ECU.9.1.1_1	Puerto Villamil	EN	
979755530																										OBS242160017										CC_BY_4_0																							CLO	EBIRD			HUMAN_OBSERVATION				URN:catalog:CLO:EBIRD:OBS242160017	OBS242160017		obsr176459		4											PRESENT																			2008-11-09T00:00:00				2008	11	9												SOUTH_AMERICA				EC	Galápagos			Santiago--Sombrero Chino									-0.369799	-90.583626																																																	avibase-ACAA25BF	Spheniscus mendiculus Sundevall, 1871								Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae		Spheniscus	Spheniscus			mendiculus			SPECIES		Galapagos Penguin		ACCEPTED			4fa7b334-ce0d-4e88-aaae-2e0c138d049e	EC	2023-01-24T15:12:45.695Z								CONTINENT_DERIVED_FROM_COORDINATES		true	false	5229383	5229383	1	44	212	7190978	5284	2481654		5229383	Spheniscus mendiculus	Spheniscus mendiculus Sundevall, 1871	Spheniscus mendiculus		DWC_ARCHIVE	2023-01-24T15:12:45.695Z	2022-03-02T17:41:33.833Z	false										EN	
